ID,AGE,ADT_029,ADTT,TRAFFIC_LANES_ON_028A,MAIN_UNIT_SPANS_045,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,DECK_WIDTH_MT_052,VERT_CLR_UND_054B
10-1003 225,28,6814,34070.0,2,2,28.4,59.2,14.3,0.0
10-1008 221,58,2473,22257.0,2,1,12.5,13.3,9.1,0.0
10-1009 221,179,2029,22319.0,1,3,13.7,43.6,5.2,0.0
10-1020 232,86,3712,22272.0,2,1,7.7,8.4,8.3,0.0
10-1023A231,100,364,4368.0,2,3,7.3,20.4,6.3,6.59
10-1054A017,30,15135,121080.0,4,1,12.6,13.6,33.2,0.0
10-1068 235,93,6507,78084.0,2,1,6.5,7.5,10.5,0.0
10-1069 232,85,3021,33231.0,2,1,9.6,11.0,8.9,0.0
10-1073C017,26,10781,86248.0,2,3,17.7,32.9,17.4,6.89
10-1077 004,12,44945,269670.0,6,1,26.7,29.8,42.9,5.21
10-1079 004,12,48153,385224.0,9,1,18.1,19.5,50.8,5.02
10-1088 244,79,1333,10664.0,2,1,9.8,11.0,8.3,0.0
10-1099 243,30,3073,27657.0,2,1,11.6,13.9,11.1,0.0
10-1103 000,103,99,495.0,1,2,7.4,14.8,3.7,0.0
10-1118 258,168,3616,21696.0,1,1,14.3,15.9,4.5,0.0
10-1119 261,79,1816,10896.0,2,1,31.7,32.6,8.2,0.0
10-1127 251,42,783,6264.0,2,1,14.6,18.3,8.0,0.0
10-1128 258,36,3287,26296.0,2,1,6.7,8.5,7.9,0.0
10-1135 259,69,2369,14214.0,2,2,15.2,31.6,8.3,0.0
10-1137 263A,10,158,1896.0,1,1,15.2,19.4,4.9,0.0
10-1138 237,16,28920,173520.0,4,1,30.0,32.1,31.4,0.0
10-1156 331,29,2250,18000.0,2,1,30.5,32.3,12.4,0.0
10-1162 021,82,13080,78480.0,2,1,6.7,10.0,15.4,0.0
10-1172A275,31,4082,20410.0,2,3,6.1,18.3,13.6,4.93
10-1177 274,172,6026,36156.0,2,1,6.4,6.4,8.1,0.0
10-1182 270,96,3751,22506.0,2,1,7.6,8.2,7.9,0.0
10-1192 318C,105,48,528.0,1,1,10.7,11.9,5.0,0.0
10-1196 316,30,5270,26350.0,2,1,12.2,12.6,14.2,0.0
10-1203 013,92,17026,136208.0,3,1,6.9,10.5,14.6,0.0
10-1211A011,70,35552,213312.0,4,1,15.2,17.4,27.6,0.0
10-1212 322,48,1521,9126.0,2,1,12.2,12.8,15.7,0.0
10-1216 329,90,3354,20124.0,1,1,20.4,21.0,5.0,0.0
10-1218 302,27,2064,24768.0,2,2,18.3,38.6,12.2,0.0
10-1222 336A,27,10759,118349.0,2,2,41.5,77.1,14.2,5.13
10-1223 6278,6,10759,53795.0,5,2,35.2,66.7,22.2,5.21
