ID,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060
10-1003 225,6,8,6
10-1008 221,7,7,7
10-1009 221,7,5,7
10-1020 232,7,7,5
10-1023A231,7,7,5
10-1054A017,6,6,6
10-1068 235,8,8,7
10-1069 232,7,8,6
10-1073C017,7,6,6
10-1077 004,7,7,7
10-1079 004,7,8,7
10-1088 244,7,6,6
10-1099 243,7,6,6
10-1103 000,7,5,4
10-1118 258,7,6,6
10-1119 261,7,6,6
10-1127 251,7,8,7
10-1128 258,7,7,5
10-1135 259,7,6,6
10-1137 263A,8,8,7
10-1138 237,7,8,7
10-1156 331,7,6,6
10-1162 021,8,8,5
10-1172A275,6,6,6
10-1177 274,6,6,6
10-1182 270,6,5,5
10-1192 318C,7,6,6
10-1196 316,7,6,6
10-1203 013,7,7,6
10-1211A011,6,6,6
10-1212 322,6,6,6
10-1216 329,7,6,7
10-1218 302,7,6,6
10-1222 336A,7,7,7
10-1223 6278,7,8,7
10-1234 011,7,6,6
10-1256 339,5,6,6
10-1260 346,5,6,6
10-1261 048,6,6,6
10-1262N336,7,6,7
10-1262S336,6,6,7
10-1264N336,7,6,6
10-1264S336,6,6,6
10-1267N067,7,8,7
10-1267S067,7,7,6
10-1268A6052,7,8,7
10-1268B6052,7,8,7
10-1279E003,7,6,6
10-1279W003,7,7,7
10-1286A6505,6,6,6
10-1286E018,7,6,5
10-1286W018,7,6,6
10-1287E018,7,7,7
10-1287W018,7,7,7
10-1292 340,6,6,7
10-1301 356,7,6,7
10-1303 378,6,6,6
10-1305 378,5,5,5
10-1305N082,7,8,7
10-1305S082,7,8,7
10-1306 409,7,7,7
10-1307 378,7,7,6
10-1308 378,4,4,6
10-1310 067,7,6,6
10-1313 067,7,6,6
10-1315N067,7,6,6
10-1315S067,7,7,6
10-1317N067,7,6,7
10-1317S067,7,6,6
10-1318 406,7,6,6
10-1319 407,5,5,5
10-1319N067,7,6,6
10-1319S067,7,5,7
10-1328N067,7,7,5
10-1328S067,7,7,5
10-1329N067,7,7,7
10-1329S067,7,7,7
10-1331A6332,7,7,7
10-1331B6338,7,7,7
10-1331N067,7,7,6
10-1331S067,7,7,6
10-1341 6014,6,5,5
10-1351 387A,7,7,7
10-1355 356,5,5,5
10-1356 048,7,6,6
10-1361 356,8,8,6
10-1366 399,7,7,7
10-1390 424,7,7,6
